cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob,is_fraud
5.60299E+11,Kelly,Bennett,M,84322 Michael Stravenue,Mendozashire,OH,21635,83.7473265,40.599832,Oncologist,3/29/1928,0
4.94487E+15,Larry,Thompson,M,49864 Adam Summit,Lake Linda,OH,54089,7.246056,-122.77857,Sub,7/20/1927,0
4.90714E+15,Megan,Ward,F,184 Arroyo Unions,Hartbury,NC,99784,1.17699,66.342374,Cartographer,11/11/1944,0
3.53866E+15,Stanley,Andrews,M,428 Young Mountains Suite 527,Whiteberg,CA,75984,-28.644581,-126.382841,"Geologist, engineering",5/27/1988,0
4.99797E+15,Emily,Delgado,F,64334 Sims Curve,Proctorside,MT,36206,57.2490005,58.824307,Engineering geologist,6/22/1923,0
4.18376E+12,Patrick,Lamb,M,5705 Megan Drive Apt. 461,Port Jenniferfurt,IL,58560,-23.6529045,-162.009298,Proofreader,11/20/1938,0
4.02203E+15,Crystal,Holden,F,0862 Christine Lakes Apt. 518,Marcusmouth,TX,14979,-64.1613965,100.891149,Armed forces logistics/support/administrative officer,11/6/2020,0
3.51573E+15,Kathy,Sandoval,F,50488 Clinton Mount,West Lisa,GA,12547,63.1389815,34.640048,"Engineer, civil (contracting)",3/22/1910,1
5.83834E+11,Christina,Foster,F,270 James Landing Apt. 110,Heatherville,IL,40493,30.8124825,72.96837,International aid/development worker,3/12/1993,0
4.51881E+15,Elizabeth,Burns,F,"PSC 5782, Box 3298",West Haley,NY,69157,-53.6934345,50.889008,Customer service manager,11/4/1951,0
6.55703E+15,John,Nguyen,M,47644 Jackson Hill,Lake Vincentburgh,MT,77236,56.675041,-107.357782,Chief Financial Officer,1/19/1962,0
4.29979E+18,Kyle,Smith,M,5616 Kelly Dale Apt. 458,South Jenniferport,NC,56475,73.4354795,-10.086497,English as a foreign language teacher,3/16/1914,0
4.57845E+15,Robert,Reilly,M,6173 Hayes Hollow,North Scott,PA,3769,39.5639135,88.464612,"Surveyor, mining",4/24/2005,0
3.48162E+14,Emily,Mcclain,F,74773 Douglas Ridges Suite 562,South Danielfort,NC,60956,-44.15081,-28.46423,"Engineer, manufacturing systems",8/8/1986,0
4.27621E+15,Dorothy,Gilbert,F,566 Graham Forest Apt. 723,Whitneyberg,PA,18101,-86.8854085,-141.481664,"Development worker, community",1/31/1968,0
4.02767E+18,John,Jackson,M,43728 Matthew Corner Apt. 927,East Becky,PA,45730,-75.417034,164.811302,Engineering geologist,11/23/1929,0
4.74101E+15,Douglas,Lee,M,2140 Price Circle Suite 427,Rodriguezside,FL,57026,-31.377321,149.620643,Mechanical engineer,1/14/2014,1
2.13153E+14,Amy,Fernandez,F,20417 Mary Circles,Lisafurt,TX,42999,-57.572343,129.219932,Transport planner,7/24/1915,1
4.53136E+12,David,Wilson,M,3645 Williams Streets Apt. 822,Watkinsmouth,TX,55428,-36.648079,-5.14922,Museum/gallery conservator,3/13/1915,0
3.58046E+15,Lauren,Snow,F,74279 Tiffany Mountain,Padillatown,NY,82723,-71.021991,26.630483,Marine scientist,8/1/1949,1
3.52222E+15,Judith,Miller,F,579 Ellis Port Apt. 424,West Justin,NC,22306,76.0622875,-93.67659,"Exhibitions officer, museum/gallery",1/24/1997,0
4.28792E+18,Pamela,Gonzalez,F,137 Lara Heights Apt. 662,New Katelynland,MI,1368,19.913753,162.956358,Metallurgist,2/22/1957,0
3.56711E+15,Kenneth,Bruce,M,445 Amanda Knoll Apt. 028,East Ericbury,NC,25197,59.962866,149.33184,Accounting technician,4/30/1983,0
2.62755E+15,Paul,Patton,M,87592 Nunez Coves,South Daniel,FL,41694,-56.817243,70.129068,"Geologist, wellsite",12/13/2011,0
1.80088E+14,Christina,Gonzalez,F,0269 Hernandez Road,West Ebony,MT,64759,45.50481,-39.519525,Water engineer,11/19/1922,0
2.26847E+15,Maria,Watkins,F,6371 Karl Causeway Suite 963,New Lauriefort,NC,56482,-33.6985725,6.464117,Armed forces technical officer,7/16/1955,0
6.01121E+15,Denise,Johnson,F,2319 Alejandra Village,Markshire,FL,97132,14.6765845,-53.33171,Health physicist,9/27/2000,1
4.06969E+18,Katie,Bell,F,2954 Christopher Land,North Sandrabury,MI,12163,34.1312355,-73.556642,Haematologist,10/10/1970,0
6.01142E+15,Noah,Scott,M,Unit 5280 Box 9242,Natalieberg,FL,12251,-4.8207625,104.769109,Financial risk analyst,7/1/1950,1
3.8675E+13,Michael,Becker,M,2361 Melissa Estates Suite 642,West Elizabeth,MT,48664,47.614303,-72.694933,"Engineer, mining",4/20/1991,1
4.03037E+12,Kevin,Mack,M,61027 Holt Ways,Ballardland,CA,16896,-53.730625,-172.550421,Chartered loss adjuster,12/23/2000,0
3.75228E+14,Kelsey,Henderson,F,572 Justin Summit Apt. 722,Torresborough,NC,73485,-77.370291,-170.266212,Therapeutic radiographer,9/23/2007,0
4.89976E+15,Rhonda,Peterson,F,290 Barnes Springs,Rachelberg,GA,92290,18.4313,59.54592,Ambulance person,5/27/1968,0
3.50185E+15,Stacy,Alvarez,F,96115 Williams Drives Apt. 545,Williamsport,MI,37657,-32.1302925,-81.711216,Risk analyst,12/4/2010,0
6.5461E+15,Kim,Rivers,F,USNS Brown,Lake Brianfurt,GA,13443,-4.0895235,-103.517073,Health physicist,1/30/1951,0
2.4537E+15,James,Bell,M,20970 Emily Loop Suite 681,Careystad,TX,51193,-42.436826,-175.47344,"Production assistant, radio",10/28/1955,1
5.79611E+11,Andrew,Griffith,M,3173 Wall View Suite 831,North Nicholasland,PA,17217,-73.356403,57.253138,Building control surveyor,2/12/1968,0
2.28081E+15,Adam,Willis,M,3033 Hanson Garden,South Jack,CA,1382,7.3929875,-174.689221,Cartographer,8/7/1923,0
3.05391E+13,Tracy,Blackwell,F,"PSC 7363, Box 4669",Andreaberg,TX,99017,-67.4438645,-21.597301,"Journalist, broadcasting",3/16/1939,1
4.09702E+15,Nathaniel,Clark,M,9090 Eric Isle Suite 636,Fowlerport,PA,12722,-43.983811,-123.997292,"Engineer, petroleum",10/5/2011,0
3.52742E+15,Thomas,White,M,76563 Johnson Glen,Murrayland,FL,72384,86.3681625,-49.919612,Chief Financial Officer,3/15/1978,0
3.0151E+13,Kayla,Ochoa,F,892 Haley Rapid,West Gregory,GA,90629,-4.6463915,177.754987,Marine scientist,10/15/2013,1
6.56567E+15,Leslie,Guerra,F,49828 Jonathan Mountain Suite 746,East Adam,IL,66128,10.464066,83.847204,English as a second language teacher,1/9/1912,0
4.21416E+15,Carol,Simmons,F,2237 Wayne Creek,Port Katherine,GA,34494,19.734375,56.615358,Therapeutic radiographer,2/3/2009,0
4.47129E+18,Barbara,Schmidt,F,71487 Peggy Crescent,North Ryantown,TX,21503,-2.3556105,25.884525,"Geologist, engineering",3/22/2006,1
5.55905E+15,Maurice,Solis,M,76420 Rogers Springs,Justinborough,CA,92396,57.1053235,31.404977,"Engineer, manufacturing systems",8/17/2019,0
6.76175E+11,William,Lambert,M,51826 Phillip Viaduct,Port Karenville,FL,24181,70.8203815,-83.396758,Proofreader,5/7/1968,0
4.97186E+15,Cindy,Howard,F,41818 Jones Route,North Nicholasbury,GA,50129,-61.813546,-113.694567,Museum/gallery conservator,11/25/1960,0
3.53481E+15,Johnny,Baxter,M,15285 Roberto Light,West Kevinport,CA,35202,-32.8055455,-178.800468,Water engineer,4/8/2013,0
4.60931E+12,Krista,Marsh,F,3637 Jacqueline Parkway,East David,OH,53097,-79.70109,-32.971656,Clinical research associate,4/13/1943,0
3.58788E+15,Tammy,Jones,F,367 Gabriel Terrace,East Adam,IL,75460,-31.532686,137.888113,Horticultural consultant,9/30/1948,0
3.50185E+15,Derrick,Perkins,M,6182 Carrie Lane,East Kayla,NC,35583,-51.7115465,156.82442,"Engineer, petroleum",11/10/1928,0
3.53503E+15,Robert,Dawson,M,6769 Taylor Shoal Apt. 668,Millerchester,NY,69568,65.122524,-62.245963,Museum/gallery conservator,10/15/2013,0
6.01141E+15,Jeremy,Newman,M,369 Jeffery Ferry,Wilcoxburgh,CA,7666,9.717902,167.16607,Accounting technician,11/3/1921,0
3.44215E+14,Michael,Miller,M,USCGC Davis,Amyland,CA,65894,-64.736468,64.173109,"Engineer, manufacturing systems",7/15/1919,0
6.54236E+15,Christopher,Rodriguez,M,3030 Nelson Roads Apt. 121,Warrenview,CA,24628,-75.573665,-130.370979,Sports administrator,5/15/2019,0
4.78614E+12,Jonathan,Parrish,M,Unit 1109 Box 6179,Gordonton,NC,88019,-12.179366,45.829841,Professor Emeritus,10/31/1922,0
6.30417E+11,Ariana,Owen,F,0412 Danielle Prairie Apt. 179,South Meganborough,TX,51723,-62.9761415,83.623457,Medical sales representative,3/13/1982,0
4.31355E+15,Matthew,Owens,M,9196 Gonzalez Knoll Suite 172,Raymondville,MI,24081,-3.380935,50.525281,Chartered loss adjuster,12/31/1966,1
3.57457E+15,Paul,Ross,M,1459 Nelson Extension,Walshville,OH,68889,51.623575,-50.869959,"Librarian, public",2/27/2016,1
6.01135E+15,Chelsea,Johnson,F,43629 Moreno Park Suite 103,New Craigbury,FL,81794,18.5980865,30.404055,Transport planner,8/9/1997,0
2.37954E+15,Steven,Hampton,M,"PSC 7824, Box 5569",Jamesshire,MI,68668,2.1470315,148.76226,Corporate treasurer,6/28/1983,1
5.02004E+11,Christopher,Graham,M,1294 Betty Landing,Martineztown,MI,61162,49.051788,67.079134,Estate manager/land agent,3/1/1965,0
4.47196E+15,Jonathan,Myers,M,USCGC Richardson,Wolfeville,IL,61313,21.9097925,48.080457,Local government officer,12/10/1922,0
3.55287E+15,Shirley,Chandler,F,47743 Judy Mews,North Lisa,PA,1187,6.5189215,39.058024,Tax adviser,7/4/1970,0
3.50103E+15,Andrea,Butler,F,2668 Darrell Crest Suite 535,East Robertside,NY,74956,-77.7111015,-172.001398,Hospital doctor,7/9/1984,0
4.59609E+12,Scott,Cruz,M,86487 Armstrong Port,North Juan,GA,89970,-16.343237,-134.077745,Chief Strategy Officer,5/28/1968,0
3.56114E+15,Alan,PhD,M,0429 Daniel Forest,Shelbyfurt,TX,76874,-81.2491315,172.75604,Proofreader,5/7/1949,1
4.99577E+15,Cameron,Johnson,M,015 Lozano Roads,Lake Isaac,MI,77775,46.7340395,-135.015858,Geophysicist/field seismologist,10/29/1989,0
4.47273E+12,Amanda,Macdonald,F,31528 Hill Roads Apt. 506,Lake Courtneybury,NC,18441,67.3953505,21.975697,Therapeutic radiographer,5/4/2000,0
4.56383E+15,Michael,Johnson,M,061 Barr Trafficway,Port Amanda,NY,94587,-28.438497,-24.206781,"Engineer, structural",6/13/1992,0
3.45779E+14,Jonathan,Long,M,789 Brian Park Suite 645,West Hannahside,FL,64559,56.455361,88.336387,Chartered loss adjuster,5/8/1943,0
5.03888E+11,Erin,Brown,F,128 Rivera Trail Suite 973,East Fred,GA,533,-3.20465,-138.238194,"Engineer, civil (contracting)",10/14/1938,0
3.72958E+14,Kelly,Smith,F,50922 Christopher Village,Tonyaborough,IL,86366,74.8203875,-171.04797,"Engineer, mining",1/21/1976,0
4.18273E+18,Martin,Valenzuela,M,209 Moore Port Apt. 654,Christopherborough,NC,34345,-31.4126405,71.08819,Banker,6/12/2014,1
4.96816E+18,Tammy,Tanner,F,2517 Hale Mountains,West Kathryn,IL,18002,17.3429255,-4.383169,"Geologist, engineering",6/3/2024,0
3.70915E+14,Adam,Valdez,M,0740 Miranda Mount Suite 095,Guystad,NY,55165,-85.297282,59.857899,Chief Financial Officer,8/24/1989,0
2.13156E+14,Jessica,Wilson,F,06244 George Roads Suite 133,Matthewsmouth,NC,71470,14.431998,75.337353,Chief Financial Officer,2/8/1948,0
3.5151E+15,Pamela,Joyce,F,2169 Mccann Loop Apt. 093,Doughertymouth,MI,80430,-22.907039,-90.633075,Chief Executive Officer,10/10/1963,0
3.54429E+15,Lisa,Hays,F,7345 Norris Isle,East Aimee,FL,3901,-30.669984,19.099179,Armed forces logistics/support/administrative officer,3/30/1954,0
4.49096E+12,Devon,Nixon,M,977 Amanda Tunnel,Millerborough,NC,13591,55.591024,136.41876,"Engineer, structural",8/11/1917,0
3.53987E+15,Cheryl,Foster,F,Unit 5274 Box 0334,West Ronaldfurt,TX,43189,59.805282,120.632816,"Civil engineer, consulting",11/8/1916,0
4.12958E+15,Michael,Padilla,M,Unit 1828 Box 1979,Port Gabriellaview,CA,61543,31.141856,-98.285396,"Civil engineer, consulting",11/13/1921,1
4.67045E+12,Denise,Mayer,F,3318 Woods Pass Apt. 700,Sonyaland,NY,57405,85.0204105,-18.565903,Geochemist,2/16/2010,0
3.52565E+15,James,George,M,177 David Passage Apt. 231,Lake Donna,NY,43574,34.05722,178.821088,"Engineer, structural",10/10/1926,0
3.53991E+15,Teresa,Lutz,F,289 Garrison Harbors,Derekport,OH,547,-69.9021075,-45.068642,"Geologist, engineering",9/27/1995,0
4.09192E+15,Shawn,Holt,M,856 Bird Corner Apt. 173,Castroshire,TX,49760,72.840419,98.618171,Engineering geologist,1/4/2009,0
4.43098E+15,Mark,Sherman,M,61499 Mario Fork Suite 038,East Nancy,NY,58219,83.9180035,-64.053012,"Geologist, wellsite",8/16/1955,0
1.80009E+14,Russell,Stevens,M,USCGC Lewis,Markshire,MI,67079,19.2913495,-102.565461,Multimedia specialist,5/10/2013,0
3.0393E+13,Amy,MD,F,USS Aguirre,West Feliciashire,NY,68460,-45.06785,-126.462392,Building control surveyor,8/9/1914,1
4.46067E+18,Kimberly,Colon,F,"PSC 5263, Box 5602",New Elizabeth,CA,55923,63.153093,156.183418,Company secretary,12/21/1909,0
6.7638E+11,Gregory,Gonzalez,M,550 Rachel Spur,Port Jeffreyton,MT,74378,56.4536975,-140.312348,Health physicist,9/15/1911,0
5.81553E+11,Michelle,Carroll,F,9269 Edward Island,Lake Coltonland,PA,11740,-84.2377445,-175.346039,Chief Financial Officer,10/11/2003,0
4.3766E+18,Christopher,Shannon,M,5203 Baker Meadows,East Monicatown,MI,96791,63.988698,-169.68555,Medical illustrator,6/18/1935,0
4.01751E+15,David,Williams,M,25326 Guzman Parkways,New Adrian,NY,90092,-22.443339,-28.898146,"Librarian, public",8/4/2004,0
4.48595E+15,Scott,Ramirez,M,969 Carol Pines Suite 552,Robertborough,OH,43256,-27.3368715,-12.207955,Personnel officer,11/30/1930,1
4.56259E+15,Maria,Rosario,F,974 Brenda Islands,West Marie,PA,49656,57.6736255,-166.328441,Restaurant manager,7/23/1946,0
3.45461E+14,Daniel,Hall,M,"PSC 2632, Box 8094",Williamburgh,MT,26923,73.1063535,-42.411674,Medical illustrator,8/15/1978,0
4.33701E+15,Jake,Ramirez,M,66007 Rivas Loop,Jenniferfort,IL,27069,-18.251379,-166.893438,Health physicist,11/15/2008,0
4.30004E+15,Shirley,Mooney,F,Unit 3723 Box 0817,Johnfurt,TX,40197,-33.831485,110.966255,Brewing technologist,8/13/2011,0
3.70858E+14,Megan,Johnson,F,0423 Glenn Prairie,East Donaldshire,GA,3604,27.6008465,86.366173,Environmental health practitioner,1/14/1962,0
4.79862E+12,Katrina,Smith,F,236 Pace Views,East Emilystad,PA,51720,30.7498755,145.578122,Horticultural consultant,5/5/1974,0
6.59177E+15,Melissa,Lee,F,Unit 8601 Box 3477,Williamchester,FL,26609,-18.6763745,-152.623322,"Pharmacist, hospital",4/6/1926,1
3.74344E+14,Lisa,Mcclain,F,8550 Romero Loaf Suite 935,Jacksonfurt,OH,27650,-31.5003005,-11.308833,"Production assistant, radio",3/31/1937,0
3.57372E+15,Shannon,Ramirez,F,522 John Branch Suite 248,South Ericberg,IL,32210,73.4688985,17.134085,Chartered loss adjuster,12/30/1981,0
3.52657E+15,Tyler,Sanchez,M,08385 Shane Isle Suite 595,Hamiltonhaven,OH,5240,88.863916,114.199753,Medical sales representative,2/11/1923,0
3.55296E+15,Nathaniel,Sullivan,M,6626 Good Isle,South Russell,PA,31317,-13.101941,-49.413736,Marine scientist,10/19/2014,0
6.39046E+11,Sarah,Moore,F,21455 Jennifer Mews Suite 189,West Ericborough,IL,45732,-72.2684005,-153.74047,Engineering geologist,6/5/1929,0
4.08491E+18,Evelyn,Hopkins,F,374 Snow Walk Apt. 394,Allentown,CA,56863,-77.1785145,-139.141059,"Engineer, structural",3/6/1992,1
6.76251E+11,Jocelyn,Martinez,F,1863 James Route Suite 913,Jameston,PA,5269,31.576946,-79.025034,Building control surveyor,2/24/1957,0
3.50732E+15,Tara,Morrison,F,11901 Williams Valleys,North Matthew,OH,24766,84.076569,125.487723,Local government officer,11/13/1998,0
3.55437E+15,Michelle,Greer,F,6040 Ford Circle Apt. 784,Gregorytown,TX,62528,52.1613665,-144.944999,Medical sales representative,6/20/1999,0
2.13107E+14,John,Gonzalez,M,233 Nathan Camp Suite 096,Sandraville,FL,12757,-22.8061285,141.222465,Dramatherapist,3/18/1919,0
2.13183E+14,Stephanie,Rodriguez,F,64687 Nancy Crescent,Fostershire,OH,93883,-53.702655,-151.636199,"Engineer, mining",12/22/2017,1
6.59136E+15,Mark,Schmitt,M,905 Harrison Parkways Suite 700,Christopherhaven,MT,36556,52.2802475,-99.491585,Marine scientist,10/27/1929,0
4.76464E+15,Pamela,Rice,F,1706 Dougherty Roads Suite 255,Matthewburgh,MT,39014,-38.5484255,-167.510182,Restaurant manager,12/21/1967,0
4.84337E+18,Jennifer,Johnson,F,7744 Susan Mall Apt. 936,Cassandraville,TX,69439,81.607693,128.715918,Building control surveyor,2/11/1911,0
4.60336E+15,Amy,Dyer,F,384 Brady Canyon,Deleonmouth,MI,39618,-26.2665315,76.026693,"Geneticist, molecular",8/30/2024,0
4.29965E+15,Krystal,Phillips,F,8389 Mark Shore,Port Loriport,IL,903,2.525107,38.759959,"Exhibitions officer, museum/gallery",6/25/1969,0
4.08178E+15,James,Murillo,M,620 Walker Harbors Suite 077,Mcclurefurt,OH,54456,-55.0956655,140.142575,Ambulance person,5/6/1980,0
6.01154E+15,Sean,Carter,M,34862 Navarro Overpass,North Melanie,IL,23729,55.897824,-9.037949,Brewing technologist,11/19/1921,0
3.67382E+13,Kelly,Carrillo,F,424 Mathis Ridge Apt. 145,Davisburgh,OH,31339,56.0205415,35.635988,"Production assistant, radio",9/29/1990,0
3.57443E+15,Ronald,Walker,M,8951 Michelle Parkways,Stonefurt,MT,73728,-2.9258855,-171.607413,Careers information officer,6/30/1939,0
4.13216E+15,Isaac,Young,M,942 Kevin Ridges Apt. 165,Port Kurt,MI,84277,-28.3743635,134.784232,Personnel officer,10/30/1958,0
3.59921E+15,Jennifer,Burns,F,768 Jessica Lock,North Stephen,NC,28690,-36.763561,57.779217,Water engineer,10/11/1913,0
3.55359E+15,Jillian,Summers,F,Unit 2560 Box 8320,Obrienmouth,IL,68478,45.146704,91.611256,Chief Strategy Officer,10/11/2011,0
4.11409E+18,Ashley,Sanders,F,"PSC 3049, Box 3665",Lake Haroldport,MI,68788,-62.182149,-99.667055,"Social research officer, government",4/8/1936,0
5.6403E+11,Joshua,Hughes,M,0299 Scott Stravenue Apt. 669,West Luisburgh,GA,90213,79.58,164.69313,Cartographer,7/24/1974,0
6.5947E+15,Jose,Stephens,M,Unit 4743 Box 6213,Whiteside,NC,69723,5.3841155,59.884569,Accounting technician,6/23/1958,0
4.99197E+12,Deborah,Young,F,166 Garcia Light Apt. 237,East Mariah,NY,42748,27.2777605,-81.74439,Restaurant manager,5/13/1936,0
4.27488E+15,Stephen,Boyd,M,96882 Barber Lock Suite 040,Rodriguezchester,NC,6270,42.7025365,116.27114,Chief Executive Officer,2/7/2001,0
4.24192E+18,Jonathan,Mendez,M,613 Thomas Lodge,South Martintown,PA,22203,6.7216395,-30.526196,Geophysicist/field seismologist,6/11/1996,1
3.8581E+13,Timothy,Small,M,48942 Kelly Lane Suite 489,Evanport,FL,41755,23.7067565,15.521685,Proofreader,3/9/1990,0
1.80038E+14,Mr.,Collins,M,12995 Galvan Bridge,Jonesville,FL,22078,-75.6464295,-70.536881,"Designer, jewellery",10/26/1974,1
4.45446E+18,Maria,Gregory,F,9353 Smith Walks,Willieland,FL,56204,2.7016015,-87.524,Corporate treasurer,7/23/1953,0
4.98075E+12,Carla,Young,F,89876 Alex Corner,Lake Joeside,TX,38428,-4.28193,168.899328,Museum education officer,5/22/1968,0
1.80018E+14,Kimberly,Phillips,F,01265 Sweeney Roads,Sarahland,MI,60923,6.960743,0.181611,"Surveyor, hydrographic",8/23/1960,0
5.49509E+15,Amber,Chen,F,473 Derek Manor,South Cameronstad,OH,74223,82.1960885,-148.323617,Brewing technologist,6/30/2020,0
6.75974E+11,Eric,Ryan,M,3983 Macdonald Plains Apt. 842,Hermanside,NY,6718,-1.1885795,-0.689141,Health physicist,8/5/1983,0
5.1452E+15,Steven,Howard,M,9805 Schneider Fort,West Kendra,TX,2100,-35.436887,130.836562,Clinical research associate,3/2/2005,0
4.51101E+12,Jennifer,Patterson,F,73654 Rachel Ferry,Lake Jacobshire,NY,92573,-49.8818825,-62.513784,"Designer, jewellery",6/18/1995,0
3.5688E+15,Cody,Scott,M,059 Ryan Trail Apt. 863,Ashleymouth,NC,90975,36.2841665,-90.085185,Brewing technologist,4/4/2016,0
4.61747E+15,Valerie,Frye,F,4630 Maxwell Underpass,New Amandaberg,FL,9812,-83.848062,169.911674,Building surveyor,1/21/1922,0
4.72506E+15,Colin,Walker,M,799 Jodi Lodge,Bakerborough,GA,73862,0.955455,-51.461328,"Exhibitions officer, museum/gallery",12/28/2000,1
4.4308E+18,Douglas,Miller,M,74235 Joseph Lights,East Laura,MT,21133,21.52315,-117.538327,Cartographer,9/7/1924,0
4.25953E+12,Tara,Brown,F,2031 Nicholas Key,New Deannashire,MI,95692,79.427764,80.188946,Building surveyor,5/3/1981,0
